field,laureate_id,laureate_name,prize_year,title,pub_year,paper_id,additional_info,doi,uid,nonenglish,no_record
Chemistry,20064,"deisenhofer, j",1988,x ray structure analysis of a membrane protein complex electron density map at 3 a resolution and a model of the chromophores of the photosynthetic reaction center from rhodopseudomonas viridis,1984,1916260872,,10.1016/S0022-2836(84)80011-X,WOS:A1984TX71000011,0,0
Chemistry,20038,"noyori, r",2001,homogeneous catalysis in the decomposition of diazo compounds by copper chelates asymmetric carbenoid reactions,1968,1593167595,,10.1016/S0040-4020(01)91998-2,WOS:A1968A962300017,0,0
Chemistry,20003,"sauvage, j",2016,une nouvelle famille de molecules les metallo catenanes,1983,1975259432,,10.1016/S0040-4039(00)94050-4,,1,0
Chemistry,20105,"woodward, r",1965,the mechanism of the diels alder reaction,1959,2136973601,,10.1016/S0040-4039(01)82764-7,WOS:A1959WP46000009,0,0
Chemistry,20068,"lehn, j",1987,diaza polyoxa macrocycles et macrobicycles,1969,2092320578,,10.1016/S0040-4039(01)88299-X,WOS:A1969D762100001,0,0
Chemistry,20018,"suzuki, a",2010,a new stereospecific cross coupling by the palladium catalyzed reaction of 1 alkenylboranes with 1 alkenyl or 1 alkynyl halides,1979,2061343703,,10.1016/S0040-4039(01)95429-2,WOS:A1979HK10000026,0,0
Chemistry,20021,"yonath, a",2009,structure of functionally activated small ribosomal subunit at 3 3 a resolution,2000,2092617311,,10.1016/S0092-8674(00)00084-2,WOS:000089105200010,0,0
Medicine,30014,"hoffmann, ja",2011,the dorsoventral regulatory gene cassette spatzle toll cactus controls the potent antifungal response in drosophila adults,1996,2137590150,,10.1016/S0092-8674(00)80172-5,WOS:A1996VJ44300015,0,0
Medicine,30010,"rothman, je",2013,snarepins minimal machinery for membrane fusion,1998,2027775552,,10.1016/S0092-8674(00)81404-X,WOS:000072661200009,0,0
Medicine,30161,"chain, e",1945,further observations on penicillin,1941,2038162697,,10.1016/S0140-6736(00)72122-2,WOS:000188728900120,0,0
Medicine,30161,"chain, e",1945,penicillin as a chemotherapeutic agent,1940,2090583956,,10.1016/S0140-6736(01)08728-1,WOS:000188728700177,0,0
Medicine,30065,"black, jw",1988,pharmacology of a new adrenergic beta receptor blocking compound nethalide,1962,1987712838,,10.1016/S0140-6736(62)90103-4,WOS:A19627792B00019,0,0
Medicine,30016,"edwards, rg",2010,birth after the reimplantation of a human embryo,1978,2069463805,,10.1016/S0140-6736(78)92957-4,WOS:A1978FL08800018,0,0
Medicine,30028,"warren, jr",2005,unidentified curved bacilli in the stomach of patients with gastritis and peptic ulceration,1984,2143107875,,10.1016/S0140-6736(84)91816-6,WOS:A1984SV59800001,0,0
Chemistry,20023,"tsien, r",2008,understanding improving and using green fluorescent proteins,1995,2061104342,,10.1016/S0968-0004(00)89099-4,WOS:A1995TF67400003,0,0
Chemistry,20094,"stein, w",1972,chromatography of amino acids on sulfonated polystyrene resins an improved system,1958,2035178202,,10.1021/ac60139a005,WOS:A1958WC84600006,0,0
Chemistry,20094,"stein, w",1972,automatic recording apparatus for use in the chromatography of amino acids,1958,2017470279,,10.1021/ac60139a006,WOS:A1958WC84600007,0,0
Chemistry,20029,"schrock, r",2005,living ring opening metathesis polymerization catalyzed by well characterized transition metal alkylidene complexes,1990,2081405235,,10.1021/ar00173a007,WOS:A1990DD76500007,0,0
Chemistry,20070,"polanyi, j",1986,concepts in reaction dynamics,1972,1992840343,,10.1021/ar50053a001,WOS:A1972M472300001,0,0
Chemistry,20076,"taube, h",1983,rates and mechanisms of substitution in inorganic complexes in solution,1952,2060270846,,10.1021/cr60155a003,WOS:A1952UE94900003,0,0
Chemistry,20001,"stoddart, j",2016,a molecular shuttle,1991,1976038872,"We can imagine that the components of the smallest machines could be molecules. For a machine to function, its parts must be able to move relative to each other. Fraser Stoddart has contributed to the development of molecular machines, for example by developing a ""rotaxane"" in 1991. A ring-shaped molecule was threaded over another molecule that functions like an axle. In the future, molecular machines could be used for new materials, sensors, and energy storage systems.",10.1021/ja00013a096,WOS:A1991FR95400096,0,0
Chemistry,20028,"grubbs, r",2005,ring opening metathesis polymerization romp of norbornene by a group viii carbene complex in protic media,1992,1999748098,,10.1021/ja00036a053,WOS:A1992HT80100053,0,0
Chemistry,20028,"grubbs, r",2005,syntheses and activities of new single component ruthenium based olefin metathesis catalysts,1993,2066949448,,10.1021/ja00074a086,WOS:A1993MD06900086,0,0
Chemistry,20029,"schrock, r",2005,synthesis of molybdenum imido alkylidene complexes and some reactions involving acyclic olefins,1990,2054894128,,10.1021/ja00166a023,WOS:A1990DC94100023,0,0
Chemistry,20017,"negishi, e",2010,a novel stereospecific alkenyl alkenyl cross coupling by a palladium or nickel catalyzed reaction of alkenylalanes with alkenyl halides,1976,2047184383,,10.1021/ja00437a067,WOS:A1976CG22700067,0,0
Chemistry,20040,"sharpless, k",2001,the first practical method for asymmetric epoxidation,1980,1968124833,,10.1021/ja00538a077,WOS:A1980KE71000076,0,0
Chemistry,20011,"warshel, a",2013,calculation of ground and excited state potential surfaces of conjugated molecules i formulation and parametrization,1972,1979313952,,10.1021/ja00771a014,WOS:A1972N197300014,0,0
Medicine,30114,"khorana, hg",1968,studies on polynucleotides xiv 1specific synthesis of the c3 c5 interribonucleotide linkage syntheses of uridylyl 3 5 uridine and uridylyl 3 5 adenosine2,1962,2329543029,,10.1021/ja00862a023,WOS:A19623089B00033,0,0
Chemistry,20056,"olah, g",1994,stable carbonium ions ii 1aoxocarbonium1b acylium tetrafluoroborates hexafluorophosphates hexafluoroantimonates and hexafluoroarsenates structure and chemical reactivity of acyl fluoride lewis acid fluoride complexes1c,1962,2328964470,,10.1021/ja00873a019,WOS:A19623077B00035,0,0
Chemistry,20075,merrifie.rb,1984,solid phase peptide synthesis i the synthesis of a tetrapeptide,1963,2320556745,,10.1021/ja00897a025,WOS:A19633101B00025,0,0
Medicine,30114,"khorana, hg",1968,studies on polynucleotides xxiv 1 the stepwise synthesis of specific deoxyribopolynucleotides 4 2 protected derivatives of deoxyribonucleosides and new syntheses of deoxyribonucleoside 3 phosphates3,1963,2328366366,,10.1021/ja00906a021,WOS:A19633111B00039,0,0
Chemistry,20069,"pedersen, c",1987,cyclic polyethers and their complexes with metal salts,1967,2045288781,,10.1021/ja00986a052,WOS:A19679299800053,0,0
Chemistry,20016,"heck, r",2010,acylation methylation and carboxyalkylation of olefins by group viii metal derivatives,1968,2033834272,,10.1021/ja01022a034,WOS:A1968B835100034,0,0
Chemistry,20016,"heck, r",2010,the arylation of allylic alcohols with organopalladium compounds a new synthesis of 3 aryl aldehydes and ketones,1968,2093996981,,10.1021/ja01022a035,WOS:A1968B835100035,0,0
Chemistry,20016,"heck, r",2010,allylation of aromatic compounds with organopalladium salts,1968,2046366153,,10.1021/ja01022a036,WOS:A1968B835100036,0,0
Chemistry,20016,"heck, r",2010,the palladium catalyzed arylation of enol esters ethers and halides a new synthesis of 2 aryl aldehydes and ketones,1968,2062594450,,10.1021/ja01022a037,WOS:A1968B835100037,0,0
Chemistry,20079,"hoffmann, r",1981,stereochemistry of electrocyclic reactions,1965,2323511279,,10.1021/ja01080a054,WOS:A19656080700054,0,0
Chemistry,20079,"hoffmann, r",1981,selection rules for concerted cycloaddition reactions,1965,2320823423,,10.1021/ja01087a034,WOS:A19656407200034,0,0
Chemistry,20079,"hoffmann, r",1981,selection rules for sigmatropic reactions,1965,2324482439,,10.1021/ja01089a050,WOS:A19656506900050,0,0
Chemistry,20118,"duvigneaud, v",1955,the synthesis of an octapeptide amide with the hormonal activity of oxytocin,1953,2322067933,,10.1021/ja01115a553,WOS:A1953UB53200111,0,0
Medicine,30066,"hitchings, gh",1988,studies on condensed pyrimidine systems ix the synthesis of some 6 substituted purines,1952,2324396664,,10.1021/ja01122a037,WOS:A1952UB41300037,0,0
Chemistry,20091,wilkinso.g,1973,the structure of iron bis cyclopentadienyl,1952,2318422058,,10.1021/ja01128a527,WOS:A1952UB41900103,0,0
Chemistry,20105,"woodward, r",1965,the total synthesis of steroids1,1952,2323851137,,10.1021/ja01137a001,WOS:A1952UB42800001,0,0
Chemistry,20067,"cram, d",1987,studies in stereochemistry x the rule of steric control of asymmetric induction in the syntheses of acyclic systems,1952,2327841955,,10.1021/ja01143a007,WOS:A1952UB43400007,0,0
Chemistry,20111,"calvin, m",1961,the path of carbon in photosynthesis v paper chromatography and radioautography of the products,1950,1988811508,,10.1021/ja01160a080,WOS:A1950UB70800079,0,0
Chemistry,20090,"flory, p",1974,the mechanism of vinyl polymerizations1,1937,2324076384,,10.1021/ja01281a007,WOS:000188445000064,0,0
Chemistry,20090,"flory, p",1974,molecular size distribution in linear condensation polymers1,1936,2315929257,,10.1021/ja01301a016,WOS:000188444900250,0,0
Medicine,30114,"khorana, hg",1968,nucleoside polyphosphates x 1 the synthesis and some reactions of nucleoside 5 phosphoromorpholidates and related compounds improved methods for the preparation of nucleoside 5 polyphosphates1,1961,2321344708,,10.1021/ja01464a034,WOS:A19613065B00039,0,0
Chemistry,20061,"corey, e",1990,the stereochemistry of complex inorganic compounds xxii stereospecific effects in complex ions1,1959,2087651449,,10.1021/ja01520a006,WOS:A1959WB36200006,0,0
Medicine,30104,"edelman, gm",1972,dissociation of  globulin,1959,2317779596,,10.1021/ja01521a071,WOS:A1959WB36300071,0,0
Chemistry,20105,"woodward, r",1965,cis hydroxylation of a synthetic steroid intermediate with iodine silver acetate and wet acetic acid,1958,2314340496,,10.1021/ja01534a053,WOS:A1958WB37600053,0,0
Medicine,30058,"krebs, eg",1992,the reaction of sodium borohydride with muscle phosphorylase1,1958,2317118960,,10.1021/ja01544a082,WOS:A1958WB38600082,0,0
Medicine,30114,"khorana, hg",1968,carbodiimides viii 1 observations on the reactions of carbodiimides with acids and some new applications in the synthesis of phosphoric acid esters,1958,2043501016,,10.1021/ja01556a015,WOS:A1958WB39800015,0,0
Chemistry,20108,"natta, g",1963,crystalline high polymers of  olefins,1955,2584716243,,10.1021/ja01611a109,WOS:A1955WB85300109,0,0
Chemistry,20118,"duvigneaud, v",1955,the synthesis of oxytocin1,1954,2328863734,,10.1021/ja01641a004,WOS:A1954UB50100004,0,0
Chemistry,20047,"boyer, p",1997,spectrophotometric study of the reaction of protein sulfhydryl groups with organic mercurials,1954,2333363395,,10.1021/ja01646a025,WOS:A1954UB50600025,0,0
Chemistry,20153,"svedberg, t",1926,determination of size and distribution of size of particle by centrifugal methods,1923,2334422461,,10.1021/ja01665a016,WOS:000188491900190,0,0
Chemistry,20153,"svedberg, t",1926,the ultra centrifuge a new instrument for the determination of size and distribution of size of particle in amicroscopic colloids,1924,2329751713,,10.1021/ja01677a011,WOS:000188492200152,0,0
Medicine,30166,"doisy, ea",1943,the isolation of vitamins k1 and,1939,2466898066,,10.1021/ja01874a507,WOS:000188445400405,0,0
Chemistry,20161,"richards, t",1914,a revision of the atomic weights of sodium and chlorine 1,1905,2077742339,,10.1021/ja01983a001,WOS:000202751000001,0,0
Physics,10155,"bridgman, pw",1946,two new modifications of phosphorus,1914,2313216101,,10.1021/ja02184a002,WOS:000188333400002,0,0
Chemistry,20145,"langmuir, i",1932,the adsorption of gases on plane surfaces of glass mica and platinum,1918,1986113254,,10.1021/ja02242a004,WOS:000207641100036,0,0
Chemistry,20145,"langmuir, i",1932,the constitution and fundamental properties of solids and liquids ii liquids 1,1917,2746503605,,10.1021/ja02254a006,WOS:000188490300062,0,0
Chemistry,20016,"heck, r",2010,palladium catalyzed vinylic hydrogen substitution reactions with aryl benzyl and styryl halides,1972,1966363887,,10.1021/jo00979a024,WOS:A1972M962500024,0,0
Chemistry,20157,"soddy, f",1921,the origin of actinium,1913,1992056649,,10.1038/091634a0,WOS:000188271100333,0,0
Chemistry,20157,"soddy, f",1921,the density of lead from ceylon thorite,1915,1988813223,,10.1038/094615b0,WOS:000188271400216,0,0
Physics,10154,"appleton, ev",1947,local reflection of wireless waves from the upper atmosphere,1925,2089912494,,10.1038/115333a0,WOS:000188313700135,0,0
Physics,10162,"thomson, gp",1937,diffraction of cathode rays by a thin film,1927,1999033607,,10.1038/119890a0,WOS:000188314300446,0,0
Physics,10169,"raman, cv",1930,a new type of secondary radiation,1928,2072443063,,10.1038/121501c0,WOS:000189300700216,0,0
Physics,10165,"chadwick, j",1935,possible existence of a neutron,1932,2167908904,,10.1038/129312a0,WOS:000188272600158,0,0
Medicine,30170,"gyorgyi, as",1937,hexuronic acid as the antiscorbutic factor,1932,1967909777,,10.1038/129943c0,WOS:000188272600292,0,0
Chemistry,20142,"joliot, f",1935,artificial production of a new kind of radio element,1934,1973083520,,10.1038/133201a0,WOS:000188238200109,0,0
Medicine,30167,"dam, h",1943,the antihaemorrhagic vitamin of the chick occurrence and chemical nature,1935,1967136383,,10.1038/135652b0,WOS:000189300900363,0,0
Physics,10093,"kapitza, pl",1978,viscosity of liquid helium below the  point,1938,2029604900,,10.1038/141074a0,WOS:000188315200028,0,0
Physics,10152,"yukawa, h",1949,mass and mean life time of the meson,1939,2052690769,,10.1038/143761a0,WOS:000202567900312,0,0
Medicine,30161,"chain, e",1945,an enzyme from bacteria able to destroy penicillin,1940,2018883772,,10.1038/146837a0,WOS:000200115800384,0,0
Physics,10114,"alfven, h",1970,existence of electromagnetic hydrodynamic waves,1942,2049973561,,10.1038/150405d0,WOS:000188273100207,0,0
Medicine,30137,"lederberg, j",1958,gene recombination in escherichia coli,1946,2084267545,,10.1038/158558a0,WOS:A1946UA27600028,0,0
Physics,10151,"powell, cf",1950,processes involving charged mesons,1947,2101266762,,10.1038/159694a0,WOS:A1947UA07300002,0,0
Physics,10151,"powell, cf",1950,observations on the tracks of slow mesons in photographic emulsions,1947,2068299905,,10.1038/160453a0,WOS:A1947UA09200003,0,0
Physics,10112,"gabor, d",1971,a new microscopic principle,1948,1991101760,,10.1038/161777a0,WOS:A1948UA12400025,0,0
Chemistry,20101,"norrish, r",1967,chemical reactions produced by very high light intensities,1949,2035481966,,10.1038/164658a0,WOS:A1949UA30200014,0,0
Medicine,30130,"watson, jd",1962,molecular structure of nucleic acids a structure for deoxyribose nucleic acid,1953,2126466006,,10.1038/171737a0,WOS:A1953UA43400007,0,0
Medicine,30130,"watson, jd",1962,genetical implications of the structure of deoxyribonucleic acid,1953,2077423161,,10.1038/171964b0,WOS:A1953UA43900005,0,0
Medicine,30107,von euler us,1970,evidence for the presence of noradrenaline in submicroscopic structures of adrenergic axons,1956,2030670408,,10.1038/177044b0,WOS:A1956ZQ07800035,0,0
Chemistry,20106,"hodgkin, d",1964,structure of vitamin b12,1956,1986091806,,10.1038/178064a0,WOS:A1956ZQ46300003,0,0
Medicine,30042,"carlsson, a",2000,3 4 dihydroxyphenylalanine and 5 hydroxytryptophan as reserpine antagonists,1957,2085518524,,10.1038/1801200a0,WOS:A1957ZP94800034,0,0
Chemistry,20109,"kendrew, j",1962,a three dimensional model of the myoglobin molecule obtained by x ray analysis,1958,1985854865,,10.1038/181662a0,WOS:A1958ZP88100002,0,0
Medicine,30093,"yalow, rs",1977,assay of plasma insulin in human subjects by immunological methods,1959,2028994036,,10.1038/1841648b0,WOS:A1959ZQ03100032,0,0
Chemistry,20110,"perutz, m",1962,structure of haemoglobin a three dimensional fourier synthesis at 5 5 a resolution obtained by x ray analysis,1960,2088437224,,10.1038/185416a0,WOS:A1960ZQ04300002,0,0
Chemistry,20109,"kendrew, j",1962,structure of myoglobin a three dimensional fourier synthesis at 2 a resolution,1960,2004436328,,10.1038/185422a0,WOS:A1960ZQ04300003,0,0
Chemistry,20085,"mitchell, p",1978,Coupling of phosphorylation to electron and hydrogen transfer by a chemi-osmotic type of mechanism.,1961,1964126982,,10.1038/191144a0,WOS:A19618738B00435,0,0
Medicine,30118,"wald, g",1967,pre lumirhodopsin and the bleaching of visual pigments,1963,2004213037,,10.1038/1971279a0,WOS:A19638807B00405,0,0
Medicine,30094,"gajdusek, dc",1976,experimental transmission of a kuru like syndrome to chimpanzees,1966,2043400793,,10.1038/209794a0,WOS:A19667314500033,0,0
Chemistry,20077,"klug, a",1982,reconstruction of three dimensional structures from electron micrographs,1968,2001024934,,10.1038/217130a0,WOS:A1968A441200006,0,0
Physics,10105,"hewish, a",1974,observation of a rapidly pulsating radio source,1968,2018280393,,10.1038/217709a0,WOS:A1968A679000001,0,0
Medicine,30096,baltimor.d,1975,viral rna dependent dna polymerase rna dependent dna polymerase in virions of rna tumour viruses,1970,2013241878,,10.1038/2261209a0,WOS:A1970G643200023,0,0
Medicine,30097,"temin, hm",1975,viral rna dependent dna polymerase rna dependent dna polymerase in virions of rous sarcoma virus,1970,201050536,,10.1038/2261211a0,WOS:A1970G643200024,0,0
Medicine,30092,guillemi.r,1977,characterization of ovine hypothalamic hypophysiotropic tsh releasing factor,1970,2087547931,,10.1038/226321a0,WOS:A1970G021700026,0,0
Medicine,30065,"black, jw",1988,definition and antagonism of histamine h2 receptors,1972,2074949244,,10.1038/236385a0,WOS:A1972M220200021,0,0
Medicine,30033,"lauterbur, pc",2003,image formation by induced local interactions examples employing nuclear magnetic resonance,1973,2020623316,,10.1038/242190a0,WOS:A1973P031700041,0,0
Medicine,30048,zinkerna.rm,1996,restriction of in vitro t cell mediated cytotoxicity in lymphocytic choriomeningitis within a syngeneic or semiallogeneic system,1974,1985774274,,10.1038/248701a0,WOS:A1974S738800049,0,0
Chemistry,20053,"molina, m",1995,stratospheric sink for chlorofluoromethanes chlorine atomc atalysed destruction of ozone,1974,2058179313,,10.1038/249810a0,WOS:A1974T343700025,0,0
Medicine,30048,zinkerna.rm,1996,immunological surveillance against altered self components by sensitised t lymphocytes in lymphocytic choriomeningitis,1974,1998240361,,10.1038/251547a0,WOS:A1974U306100059,0,0
Chemistry,20010,"levitt, m",2013,computer simulation of protein folding,1975,1965838279,,10.1038/253694a0,WOS:A1975V689000024,0,0
Medicine,30073,"milstein, c",1984,continuous cultures of fused cells secreting antibody of predefined specificity,1975,2030522563,,10.1038/256495a0,WOS:A1975AL11200037,0,0
Medicine,30063,"varmus, he",1989,dna related to the transforming gene s of avian sarcoma viruses is present in normal avian dna,1976,2004771750,,10.1038/260170a0,WOS:A1976BJ04100054,0,0
Medicine,30078,"vane, jr",1982,an enzyme isolated from arteries transforms prostaglandin endoperoxides to an unstable substance that inhibits platelet aggregation,1976,2021403302,,10.1038/263663a0,WOS:A1976CG78200022,0,0
Chemistry,20057,"smith, m",1993,nucleotide sequence of bacteriophage phi x174 dna,1977,1532331378,,10.1038/265687a0,WOS:A1977CW61200017,0,0
Medicine,30052,"lewis, eb",1995,a gene complex controlling segmentation in drosophila,1978,2006788765,,10.1038/276565a0,WOS:A1978FZ26600029,0,0
Medicine,30010,"rothman, je",2013,visualizing secretion and synaptic transmission with ph sensitive green fluorescent proteins,1998,2016166286,,10.1038/28190,WOS:000074705900057,0,0
Medicine,30050,"nussleinvolhard, c",1995,mutations affecting segment number and polarity in drosophila,1980,2000572318,,10.1038/287795a0,WOS:A1980KN54100027,0,0
Medicine,30045,"furchgott, rf",1998,the obligatory role of endothelial cells in the relaxation of arterial smooth muscle by acetylcholine,1980,2169182236,,10.1038/288373a0,WOS:A1980KR71600043,0,0
Medicine,30023,"evans, mj",2007,establishment in culture of pluripotential cells from mouse embryos,1981,2045899482,"DNA carries organisms' genomes and also determines their vital processes. The ability to artificially alter DNA opens the way to both new scientific understanding and new treatment methods for various illnesses. In 1981 Sir Martin J. Evans managed to cultivate what are referred to as embryonic stem cells from mice. This achievement opened the way to producing living mice with modified genomes. This advancement allowed Mario Capecchi and Oliver Smithies to breed live mice with specific genes inactivated, making it possible to elucidate these genes' functions.",10.1038/292154a0,WOS:A1981LW55000043,0,0
Chemistry,20064,"deisenhofer, j",1988,structure of the protein subunits in the photosynthetic reaction centre of rhodopseudomonas viridis at 3a resolution,1985,2065510140,,10.1038/318618a0,WOS:A1985AWQ1500045,0,0
Chemistry,20013,"lefkowitz, r",2012,cloning of the gene and cdna for mammalian  adrenergic receptor and homology with rhodopsin,1986,2048669565,,10.1038/321075a0,WOS:A1986C169000052,0,0
Medicine,30037,"nurse, p",2001,complementation used to clone a human homologue of the fission yeast cell cycle control gene cdc2,1987,1980585800,,10.1038/327031a0,WOS:A1987H172600041,0,0
Medicine,30025,"smithies, o",2007,targetted correction of a mutant hprt gene in mouse embryonic stem cells,1987,2032002636,,10.1038/330576a0,WOS:A1987L184100065,0,0
Physics,10013,"perlmutter, s",2011,discovery of a supernova explosion at half the age of the universe,1998,2289091855,,10.1038/34124,WOS:000071326100043,0,0
Medicine,30008,"sudhof, tc",2013,phospholipid binding by a synaptic vesicle protein homologous to the regulatory region of protein kinase c,1990,1967817609,,10.1038/345260a0,WOS:A1990DD97300064,0,0
Chemistry,20019,"ramakrishnan, v",2009,structure of the 30s ribosomal subunit,2000,2119966574,,10.1038/35030006,WOS:000089390700036,0,0
Chemistry,20019,"ramakrishnan, v",2009,functional insights from the structure of the 30s ribosomal subunit and its interactions with antibiotics,2000,2170243611,,10.1038/35030019,WOS:000089390700037,0,0
Chemistry,20007,"moerner, w",2014,single photons on demand from a single molecule at room temperature,2000,1652946403,,10.1038/35035032,WOS:000089727400043,0,0
Medicine,30026,"mello, cc",2006,potent and specific genetic interference by double stranded rna in caenorhabditis elegans,1998,1647075334,,10.1038/35888,WOS:000072089500057,0,0
Medicine,30010,"rothman, je",2013,snap receptors implicated in vesicle targeting and fusion,1993,2085680244,,10.1038/362318a0,WOS:A1993KU17600051,0,0
Medicine,30008,"sudhof, tc",2013,botulinum neurotoxin a selectively cleaves the synaptic protein snap 25,1993,2007982098,,10.1038/365160a0,WOS:A1993LW44200048,0,0
Chemistry,20048,"walker, j",1997,structure at 2 8 a resolution of f1 atpase from bovine heart mitochondria,1994,2071950147,,10.1038/370621a0,WOS:A1994PD31000041,0,0
Chemistry,20023,"tsien, r",2008,improved green fluorescence,1995,1980073547,,10.1038/373663b0,WOS:A1995QH92800035,0,0
Physics,10030,"hansch, tw",2005,quantum phase transition from a superfluid to a mott insulator in a gas of ultracold atoms,2002,2007391198,,10.1038/415039a,WOS:000173028800033,0,0
Chemistry,20023,"tsien, r",2008,fluorescent indicators for ca2 based on green fluorescent proteins and calmodulin,1997,1542263802,,10.1038/42264,WOS:A1997XT75400051,0,0
Chemistry,20002,"feringa, b",2016,light driven monodirectional molecular rotor,1999,1559264985,,10.1038/43646,WOS:000082458800050,0,0
Medicine,30134,"burnet, fm",1960,the failure of antibody production in the chick embryo,1950,2092545283,,10.1038/icb.1950.29,WOS:A1950XW67500007,0,0
Physics,10030,"hansch, tw",2005,collapse and revival of the matter wave field of a bose einstein condensate,2002,2042827511,,10.1038/nature00968,WOS:000177788600033,0,0
Medicine,30005,"moser, ei",2014,microstructure of a spatial map in the entorhinal cortex,2005,1970792572,,10.1038/nature03721,WOS:000231116500035,0,0
Medicine,30078,"vane, jr",1982,inhibition of prostaglandin synthesis as a mechanism of action for aspirin like drugs,1971,2008574207,,10.1038/newbio231232a0,WOS:A1971J612700007,0,0
Chemistry,20039,"knowles, w",2001,catalytic asymmetric hydrogenation employing a soluble optically active rhodium complex,1968,1969082645,,10.1039/C19680001445,WOS:A1968C152200067,0,0
Chemistry,20017,"negishi, e",2010,novel stereoselective alkenyl aryl coupling via nickel catalysed reaction of alkenylanes with aryl halides,1976,2112011781,,10.1039/C3976000596B,WOS:A1976CA46000019,0,0
Chemistry,20041,"heeger, a",2000,synthesis of electrically conducting organic polymers halogen derivatives of polyacetylene ch x,1977,1999332606,,10.1039/C39770000578,WOS:A1977DS45700024,0,0
Chemistry,20163,"rutherford, e",1908,lxxxiv the radioactivity of thorium compounds ii the cause and nature of radioactivity,1902,2035526860,,10.1039/CT9028100837,WOS:000188172500002,0,0
Chemistry,20157,"soddy, f",1921,cxxxii the atomic weight of lead from ceylon thorite,1914,2028328651,,10.1039/CT9140501402,WOS:000188274600134,0,0
Chemistry,20129,"robinson, r",1947,lxxv a theory of the mechanism of the phytochemical synthesis of certain alkaloids,1917,2022144691,,10.1039/CT9171100876,WOS:000188142500075,0,0
Chemistry,20139,"haworth, w",1937,lxxxiii polysaccharides part i the structure of inulin,1928,2031570059,,10.1039/JR9280000619,WOS:000188152600083,0,0
Chemistry,20116,"hinshelwood, c",1956,227 on the factors determining the velocity of reactions in solution molecular statistics of the benzoylation of amines,1934,1988560669,,10.1039/JR9340001079,WOS:000188153900036,0,0
Chemistry,20116,"hinshelwood, c",1956,333 the activation energy of organic reactions part iv transmission of substituent influences in ester hydrolysis,1938,2070976790,,10.1039/JR9380001801,WOS:000188154400163,0,0
Chemistry,20115,"todd, a",1957,studies on phosphorylation .1. dibenzyl chlorophosphonate as a phosphorylating agent,1945,1964933902,,10.1039/JR9450000382,WOS:A1945UB71900032,0,0
Chemistry,20115,"todd, a",1957,studies on phosphorylation .2. the reaction of dialkyl phosphites with polyhalogen compounds in presence of bases - a new method for the phosphorylation of amines,1945,2007487132,,10.1039/JR9450000660,WOS:A1945UB72100005,0,0
Chemistry,20098,"barton, d",1969,the principles of conformational analysis,1956,2014815386,,10.1039/QR9561000044,WOS:A1956WX78800003,0,0
Chemistry,20113,"heyrovsky, j",1959,the processes at the mercury dropping cathode part i the deposition of metals,1924,2160441152,,10.1039/TF9241900692,WOS:000202761700002,0,0
Chemistry,20128,"tiselius, a",1948,a new apparatus for electrophoretic analysis of colloidal mixtures,1937,2094419713,,10.1039/TF9373300524,WOS:000202778300066,0,0
Medicine,30186,"hill, av",1922,the combinations of haemoglobin with oxygen and with carbon monoxide i,1913,2242726375,,10.1042/bj0070471,WOS:000187141700005,0,0
Chemistry,20135,"hevesy, g",1943,the absorption and translocation of lead by plants a contribution to the application of the method of radioactive indicators in the investigation of the change of substance in plants,1923,1493302394,,10.1042/bj0170439,WOS:000187168500001,0,0
Medicine,30167,"dam, h",1943,the antihaemorrhagic vitamin of the chick,1935,207049882,,10.1042/bj0291273,WOS:000187171700154,0,0
Medicine,30148,"krebs, ha",1953,metabolism of ketonic acids in animal tissues,1937,1802786708,,10.1042/bj0310645,WOS:000187171900087,0,0
Chemistry,20128,"tiselius, a",1948,electrophoresis of serum globulin electrophoretic analysis of normal and immune sera,1937,1462038810,,10.1042/bj0311464,WOS:000187172000033,0,0
Chemistry,20114,"sanger, f",1958,the free amino groups of insulin,1945,1918431092,,10.1042/bj0390507,WOS:A1945UB91100024,0,0
Medicine,30099,"duve, cd",1974,tissue fractionation studies 4 comparative study of the binding of acid phosphatase  glucuronidase and cathepsin by rat liver particles,1955,2415205045,,10.1042/bj0590433,WOS:A1955WA22400024,0,0
Medicine,30099,"duve, cd",1974,tissue fractionation studies 5 the association of acid phosphatase with a special class of cytoplasmic granules in rat liver,1955,170240114,,10.1042/bj0590438,WOS:A1955WA22400025,0,0
Chemistry,20114,"sanger, f",1958,disulphide interchange reactions,1955,69257807,,10.1042/bj0600535,WOS:A1955WA22600084,0,0
Chemistry,20114,"sanger, f",1958,the disulphide bonds of insulin,1955,2414829511,,10.1042/bj0600541,WOS:A1955WA22600085,0,0
Medicine,30099,"duve, cd",1974,tissue fractionation studies 6 intracellular distribution patterns of enzymes in rat liver tissue,1955,1205458192,,10.1042/bj0600604,WOS:A1955WA22600093,0,0
Medicine,30105,"porter, rr",1972,the hydrolysis of rabbit  globulin and antibodies with crystalline papain,1959,1786523947,,10.1042/bj0730119,WOS:A1959WA25700020,0,0
Physics,10044,"alferov, zi",2000,low threshold large to injection laser emission from inga as quantum dots,1994,2078503440,,10.1049/el:19940939,WOS:A1994PG48100042,0,0
Physics,10018,"kao, kc",2009,dielectric fibre surface waveguides for optical frequencies,1966,2159795626,,10.1049/piee.1966.0189,WOS:A19667972900004,0,0
