field,laureate_id,laureate_name,prize_year,title,pub_year,paper_id,additional_info,doi,uid,nonenglish,no_record
Chemistry,20136,"ruzicka, l",1939,hohere terpenverbindungen xxiv ringbildungen bei sesquiterpenen totalsynthese des bisabolens und eines hexahydro cadalins--Higher terpene bonds XXIV Ring formation of sesquiterpenes - Total synthesis of bisabolen and a hexahydro cadalin,1925,1982719436,,10.1002/hlca.19250080144,WOS:000201624700039,0,0
Chemistry,20139,"haworth, w",1937,the structure of carbohydrates,1928,2080334091,,10.1002/hlca.19280110166,WOS:000201625000059,0,0
Chemistry,20140,"karrer, p",1937,zur kenntnis des vitamins a aus fischtranen,1931,2163189310,,10.1002/hlca.19310140511,,1,0
Medicine,30152,"reichstein, t",1950,eine ergiebige synthese der l ascorbinsaure c vitamin--A productive synthesis of l-arcorbic acid (C-vitamin),1934,2000315362,,10.1002/hlca.19340170136,WOS:000201625600031,0,0
Medicine,30152,"reichstein, t",1950,desoxy cortico steron 21 oxy progesteron aus 5 3 oxy atio cholensaure--Desoxy-corticosterone (21-oxy-progesterone) from Delta(5)-3-oxy-ethyl-cholic acid (XII. Communication on components of kidney lobes),1937,2036574905,,10.1002/hlca.193702001158,WOS:000201625800139,0,0
Physics,10141,"shockley, w",1956,the theory of p n junctions in semiconductors and p n junction transistors,1949,2062624166,,10.1002/j.1538-7305.1949.tb03645.x,WOS:A1949UH04300006,0,0
Physics,10019,"boyle, ws",2009,charge coupled semiconductor devices,1970,2113742150,,10.1002/j.1538-7305.1970.tb01790.x,WOS:A1970G075800006,0,0
Chemistry,20024,shimomur.o,2008,extraction purification and properties of aequorin a bioluminescent protein from the luminous hydromedusan aequorea,1962,2084312697,,10.1002/jcp.1030590302,WOS:A19624094B00012,0,0
Chemistry,20160,"willstatter, r",1915,untersuchungen uber die anthocyane i uber den farbstoff der kornblume,1913,1973911009,,10.1002/jlac.19134010205,,1,0
Chemistry,20151,"windaus, a",1928,untersuchungen uber die konstitution des colchicins,1924,1987925710,,10.1002/jlac.19244390106,,1,0
Chemistry,20125,"alder, k",1950,synthesen in der hydroaromatischen reihe,1928,2000547662,,10.1002/jlac.19284600106,,1,0
Chemistry,20083,"wittig, g",1979,zur reaktionsweise des pentaphenyl phosphors und einiger derivate,1953,2146184169,,10.1002/jlac.19535800107,WOS:A1953XV09400006,0,0
